Codine,Lirmun,Pob,Sup,Dens,Extran,Porext,Mayor65,Pormayor65,CMerCA,Nivec03,Nivec04,Parreg,Cmer05,Cmer03,Telfij,Vmot,Ofban,Acind,Acomay,Acomin,Scomin,Ccom,Sccom,Acresbar,Iindus,Icomer,Iresbar,Itur,Iae,paseos,cnautic,bazul05,nviviend,porvpal,porvisec,porvivac,porhvivprop,porhvivalq,porhvivotreg,porhHdispsegviv,Poranalf,Porestprim,Porestsec,Porestuniv,Nhot05,nhcatsup,porhcatsup,Ing01,Ing02,Ing03,Ing04,Ing05,Ing06,Ing07,Ing08,Ing09,IngTot,Gas01,Gas02,Gas03,Gas04,Gas06,Gas07,Gas08,Gas09,TotGas,LIngporhab,LGasporhab,Portasas,Porinver,RivCom,RivRes
"43038","43038 Cambrils",26209,35.08,747.12,3987,0.152123316418024,3082,0.117593193177916,0.252557388766006,9,8,2.8,66,62,14713,16784,33,642,91,663,60525,0,0,383,29,48,72,296,47,8,0,4,25138,30.7,59.8,8.4,81.7,13.3,5.1,2.3,11.6,23.8,51.5,13.2,30,5,16.6666666666667,12454560,2500012,13062170.79,5264961.21,407856,6482824,0,6,10000000,50172390,12511437.35,15419073.41,691899.29,3317149.95,15176047.26,0,606006,2450776.74,50172390,7.55711729114346,7.55711729114346,26.0345795566047,30.2478061340112,39.5309200603318,68.4308093994778
"43905","43905 Salou",20139,15.07,1336.36,6131,0.304434182432097,1759,0.0873429663836337,0.252557388766006,10,9,2.1,50,45,12459,10343,24,319,44,690,47937,0,0,403,13,39,75,1107,55,2,2,3,28509,19.9,45.8,21.2,76.8,17.5,5.7,1.6,7.7,18.3,60.7,13.4,65,13,20,13566815,1860000,7228000,4738000,570000,0,1805750,0,1200000,30968565,11183531,13335604,329000,1327229,3005751,0,0,1787450,30968565,7.33806970310596,7.33806970310596,23.3397963386421,9.70581297518952,29.1869565217391,49.9727047146402
"43148","43148 Tarragona",128152,62.35,2055.36,12501,0.097548223984019,19148,0.14941631812223,0.252557388766006,9,8,3.2,318,305,63118,78374,174,1780,532,3887,433724,2,38781,1207,500,376,463,280,368,3,1,2,58405,71.2,10.7,16.1,81.5,14.4,4.1,2.8,10.6,20.5,53.6,15.2,29,5,17.2413793103448,49763686,5571667,49015658,22244620,2661610,22467729.25,0,6000,8040000,159770970.25,33784733.73,36309250.45,3071099.56,17044624.26,58941841.25,391838,2187583,8040000,159770970.25,7.12827957339613,7.12827957339613,30.6787008449052,36.8914585407921,32.9693851299202,106.173985086993
"43153","43153 Torredembarra",13280,8.66,1533.49,1940,0.146084337349398,1945,0.146460843373494,0.252557388766006,9,8,3,33,32,7342,7772,15,348,25,429,34208,0,0,189,13,23,42,26,15,2,0,2,12044,34.8,61,2.9,80.7,13.1,6.2,2.5,10.2,26.1,53.3,10.5,6,0,0,6015000,1250000,7587783.42,2175150,9000,4876948.85,0,2762512.76,903750,25580145.03,6131451.39,5639433.8,274605.5,1221692.73,11364211.61,45000,0,903750,25580145.03,7.56331260073227,7.56331260073227,29.6627849885181,44.4259076587417,30.955710955711,70.2645502645503
"43012","43012 Altafulla",3993,6.92,577.02,406,0.10167793638868,460,0.115201602804909,0.252557388766006,9,8,2.2,9,9,2377,2516,2,95,6,86,10255,0,0,54,3,4,8,11,4,1,1,1,3791,32.5,59.8,7.5,85.5,8.1,6.5,1.4,10.4,15.7,52.3,21.6,6,1,16.6666666666667,1792416.83,400000,1277097,818794,23816,0,582978.37,0,230004,5125106.2,1681104,1399664,53801,834016.25,926516.95,0,0,230004,5125106.2,7.15736369766205,7.15736369766205,24.9184494947636,18.0780049006594,46.4302325581395,73.9444444444444
"43013","43013 Ametlla de Mar (L')",6438,67.14,95.89,1497,0.232525629077353,1198,0.186082634358496,0.252557388766006,7,7,2.8,16,15,3349,3834,6,221,26,179,13803,0,0,95,8,11,15,29,11,0,0,4,5855,33.4,52,13.3,81.7,7.9,10.4,6.5,14.1,34.6,43.5,7.9,4,0,0,2721414.91,330000,1887400,2642077.94,140115,0,74891.7,5000,0,7800899.55,2899054.02,3290989.63,136700,753769.32,509866.04,0,5000,205520.54,7800899.55,7.09977640007451,7.09977640007451,24.1946456034035,6.53599032691044,35.9664804469274,67.7684210526316
"43906","43906 Ampolla (L')",2518,35.67,70.59,629,0.249801429706116,526,0.208895949166005,0.252557388766006,7,8,2.5,6,7,1503,1307,3,118,12,80,5600,0,0,50,7,4,8,11,5,0,0,2,2846,28.4,69.7,1.9,82.3,7.9,9.9,2.5,20,28.9,43.1,8,4,0,0,1324372,450000,934852.08,483775,66000,630657.86,514057,0,300000,4703713.94,833535.62,1303593.18,21500,347500,2056377.92,0,0,141207.22,4703713.94,7.53264274003235,7.53264274003235,19.8747647481301,43.7181755997687,31.475,50.36
"43050","43050 Creixell",2441,10.41,234.49,371,0.151986890618599,444,0.181892666939779,0.252557388766006,8,8,3.8,6,6,1475,1689,2,89,5,57,4776,0,0,36,3,2,6,15,2,1,1,1,3247,25.7,70,4.3,88,6.5,5.5,1,20.5,24.3,46.4,8.8,2,0,0,1534000,375000,1605094,534006,9000,0,127058.76,0,0,4184158.76,1959300,1735158.76,50000,129700,165000,0,0,145000,4184158.76,7.44665315816473,7.44665315816473,38.361211705074,3.94344501402236,42.8245614035088,67.8055555555556
"43051","43051 Cunit",9017,9.65,934.4,1145,0.12698236664079,1358,0.150604413884884,0.252557388766006,8,8,3.5,19,16,4707,4468,6,280,14,128,9146,0,0,68,11,6,11,10,11,1,1,1,11392,23.4,75.7,0.2,89.4,6.6,4,1.3,15.2,26.6,49.9,8.2,4,0,0,7658070,850000,2060100,1781130,251700,420000,509000,0,3050000,16580000,4530000,6340000,215000,527000,3990000,0,0,820000,16422000,7.51684074417152,7.50726549375096,12.4252110977081,24.2966751918159,70.4453125,132.602941176471
"43901","43901 Deltebre",10943,103.48,105.75,766,0.0699990861738097,2121,0.193822534953852,0.252557388766006,4,6,3,28,28,3767,8117,10,386,34,286,24598,0,0,98,19,18,20,27,18,1,0,1,4382,75.7,17.1,6.6,92.4,2.9,4.8,3.3,15.4,25.2,55.3,4.2,6,0,0,3346594.33,853000,1824850.91,2145599.38,1000,276506.05,1036930.13,30000,0,9514480.8,3551000,2735901,300000,795750,2101829.8,0,30000,0,9514480.8,6.76787022933115,6.76787022933115,19.1797213989858,22.0908512422454,38.2622377622378,111.663265306122
